,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
resolv,-0.052485082,0.20018272,0.059649296,0.107031666,0.02996,-0.43180147,-0.05123505,0.2610131,-0.51082444,-0.28323895,0.45581284,-0.27530354,0.4877574,-0.25128603,0.34481347,0.26869962,0.23122759,-0.3934324,0.020703018,-0.58265835,-0.17961855,0.027377533,0.5562626,-0.63843966,0.05146657,0.020215763,-0.47536635,-0.029178448,0.27596125,-0.06504626,0.27765244,-0.047058098,0.42010465,0.62877595,-0.021197863,0.5048448,0.08111523,0.24194351,-0.22025512,-0.22751708,-0.19761169,0.20461407,-0.26199418,0.15908046,-0.38322848,-0.2807526,0.052489452,0.014568204,-0.2699563,0.25773746,0.03779653,-0.026895938,-0.36726096,0.18546973,0.18505289,-0.32874858,-0.044174843,0.13295579,0.4180301,-0.06488593,-0.5522433,-0.2011786,0.8287354,0.09659925,-0.77776116,0.3262122,-0.4139652,-0.371675,-0.27255467,-0.029246854,0.04936715,0.61595637,0.0048751603,0.5320692,-0.07632357,0.08709497,-0.010796103,-0.41749674,-0.1916038,0.22938526,0.04342795,0.31355876,0.29049852,0.34523374,-0.012294814,-0.095707044,-0.182347,-0.07929637,0.6007121,0.48263845,0.008443614,0.37808615,-0.029662617,0.24625756,0.4731434,-0.09443246,0.1546661,-0.009449261,0.33149812,-0.4199087
atend,-0.05743681,0.43464968,-0.07170107,0.2862308,0.24398607,-0.41850066,0.0050209677,0.38532105,-0.5116197,-0.20224147,0.41724482,-0.19275297,0.31232652,-0.16468608,0.3698802,0.23461579,0.0606859,-0.3360291,-0.23562567,-0.54695827,-0.22255296,-0.000769121,0.4315871,-0.66494805,0.090050906,-0.14466766,-0.3190582,-0.04269586,0.26448783,-0.15290278,0.20010465,-0.1942455,0.38121113,0.50660264,-0.10719409,0.56072897,0.04117264,0.30507126,-0.22256646,-0.36662987,-0.2778756,0.26234695,-0.11747719,0.15494166,-0.2787508,-0.13996173,0.2623402,0.082613125,-0.20729192,0.3706086,0.11434841,-0.09697647,-0.18181376,0.12256619,0.01710097,-0.39287567,0.055485114,0.1891545,0.2933954,-0.15030916,-0.30946162,-0.16047114,0.79819876,0.024561603,-0.71790487,0.31614497,-0.19994894,-0.053096153,-0.46147898,0.15434839,-0.065188654,0.54306746,0.08187181,0.52588314,-0.114382416,-0.032218914,-0.10240093,-0.31189618,-0.15473124,-0.016619278,0.03900119,0.24356128,0.06542141,0.007366414,0.25781715,-0.12983237,-0.2353449,-0.3086775,0.49531975,0.46206266,-0.06590701,0.2830452,-0.040407788,0.22442368,0.514137,-0.13900548,-0.08168097,0.07588258,0.28993937,-0.3544345
aparec,-0.26904655,-0.07786645,-0.06275088,-0.52526945,0.12187664,-0.048953652,-0.44996706,0.2658687,0.12020443,-0.2945565,-0.25479013,-0.24114987,-0.20248358,0.12182116,0.31810322,-0.25131458,0.23777103,0.11438516,0.34831956,0.065789,0.20484771,0.07284473,0.42073256,-0.207641,0.50336725,0.28803682,-0.08857435,0.16467665,-0.149476,0.17657915,-0.08468047,-0.10728556,0.0703167,-0.59086144,-0.0024299284,-0.017837504,-0.37493876,-0.12267315,-0.24659573,0.2370148,-0.15555866,0.23111597,-0.14087972,-0.10231353,-0.033512287,-0.19323054,0.21599549,-0.25848594,-0.25455812,0.024381679,0.4453716,-0.083939284,-0.25714612,0.15177053,0.051781178,-0.063186385,0.16302128,0.065828115,0.10293734,-0.013627403,-0.40345183,-0.19173825,0.20442836,0.40817583,0.08166542,0.38298544,0.014477875,-0.18110932,-0.2657803,0.39826718,0.31352264,0.31026232,0.17627466,-0.01519391,0.14433293,0.03372626,0.376235,-0.27104348,-0.13578904,0.07632328,-0.71868384,-0.0782467,-0.081854016,-0.061828043,-0.09835852,0.03798345,0.26187387,-0.1761214,0.038163178,0.14103782,0.0027670907,0.043771487,0.1023607,-0.3607339,0.10035842,0.28804773,0.1419507,0.063891634,-0.007317933,0.11018129
consegu,-0.3362257,0.13592795,-0.19928865,-0.45193642,0.16580199,-0.11904535,-0.5061292,0.17926088,0.052054577,-0.13794115,-0.24336499,-0.108980134,0.018963113,0.11742672,0.4559999,-0.06421389,0.2971023,0.27160785,0.13504685,0.010261353,0.33344442,-0.036571663,0.5687508,-0.3161607,0.5619439,0.1604668,-0.037897255,0.06737806,-0.11423095,0.19218728,0.15331031,-0.04844598,0.18816371,-0.6335702,0.11014104,0.13839877,-0.2795281,0.13376166,-0.28496483,0.23400615,-0.082285166,0.1311881,-0.07885592,-0.22283606,-0.06165872,-0.13482016,0.21880738,-0.21471444,-0.16766655,-0.069572955,0.5190347,-0.17390233,-0.40824762,0.16668007,-0.057933606,-0.08073749,0.2658873,0.16798462,-0.030419715,-0.013615136,-0.21417898,-0.10264746,0.28924784,0.32817298,0.1360102,0.3097139,0.112714104,-0.22143455,-0.26252925,0.42714384,0.2216118,0.13978356,0.03535065,0.23771793,0.1037617,0.087917045,0.3130001,-0.21621127,-0.12282216,0.15635371,-0.525565,-0.093223095,0.0043068393,-0.2347609,-0.14710493,-0.020090701,0.15255113,-0.089288615,0.087057225,0.1001522,0.033769622,0.13147734,0.022248022,-0.3420418,0.046532232,0.14007333,0.25825047,-0.029051531,-0.13936117,-0.002392809
vez,0.016764276,0.06227871,-0.21435313,-0.6206411,0.16487053,-0.3874923,-0.22062565,0.5367667,0.24057144,-0.26091856,-0.052777898,-0.52128273,-0.40874517,0.22438253,-0.24470703,0.21415353,-0.14015014,0.16813543,0.19831508,0.018243605,0.40242276,0.34983084,0.20649882,-0.056716785,-0.0066558234,0.12109209,0.51459485,-0.1397527,-0.08241114,-0.24292055,-0.18226898,-0.10306521,0.25375745,-0.6568499,-0.15527695,0.049830947,0.24357082,-0.031600907,-0.618564,0.2321123,0.13326664,0.11804672,-0.021250803,0.057883646,0.45027015,0.4407508,-0.26500157,-0.29482448,0.14360353,-0.004086054,0.06640696,-0.103191294,-0.06719525,-0.28449228,0.14917006,-0.15879725,0.29291493,-0.012504007,-0.039584387,0.21377732,0.001923477,-0.2637163,0.15278286,0.36799034,0.1942186,0.2470937,-0.41606173,0.13175431,-0.07315832,0.4538452,-0.023337511,-0.0468559,0.4269642,-0.050151702,0.18195486,-0.24510099,0.55348593,-0.50610733,0.040851273,-0.039779242,-0.34937802,-0.14647333,-0.49503186,-0.3528623,-0.16217722,-0.10302894,0.058862258,0.052902676,0.10351636,-0.03697716,0.23807739,0.20223287,0.28626323,-0.004388281,-0.21807723,0.18539661,0.027757451,0.22387381,-0.11043948,0.14700694
duas,-0.17010626,0.057759896,-0.21008664,-0.36163226,-0.07164009,-0.36827645,-0.37063122,0.43971753,0.0016961438,0.0025103567,-0.16016944,-0.45744652,-0.41096112,0.45868266,-0.21067227,-0.06390665,-0.16866744,0.16531456,0.14219214,0.15075642,0.28582475,0.43359673,0.1998035,-0.06886597,-0.068657316,0.008448822,0.36334026,0.06591612,-0.18606678,-0.2981,-0.13980095,-0.28034335,0.2787494,-0.46648145,-0.16299552,0.27445123,0.212244,-0.20492812,-0.7374512,0.34847647,-0.00071545364,0.06493848,-0.19371359,0.20169021,0.4679692,0.46957988,-0.26499873,-0.42772135,0.18911186,-0.1471736,-0.06542363,-0.086592294,-0.01683259,-0.017949596,0.1933833,0.106712826,0.35415903,-0.06746447,0.08097906,0.2316299,0.028593952,-0.24944884,-0.04874065,0.28355166,0.23310567,0.16664244,-0.47814283,0.26388133,-0.022893056,0.6169652,0.049102552,-0.03516601,0.49052677,-0.120472506,0.3101144,-0.0063559874,0.45334113,-0.4383203,-0.026857855,-0.16735414,-0.5681482,-0.15440802,-0.6269948,-0.06319678,-0.24556817,-0.0050662225,-0.0910241,-0.13024196,0.3803323,0.28821984,0.12643112,0.17075434,0.16120933,-0.36577794,-0.2896772,0.39270878,0.11694538,0.26896486,0.009582462,0.05348807
trav,-0.010922818,-0.20766291,-0.11023995,-0.5350878,0.11942719,-0.23513056,-0.3730554,0.46564603,0.20000377,-0.012033478,-0.18072265,-0.36547643,-0.5242273,0.46329343,-0.35081482,0.26363364,-0.31034324,0.13199413,0.19556902,0.08492419,0.4267042,0.49723467,0.37571353,0.0027166798,0.08037109,0.2386373,0.6265828,-0.2343921,-0.16202053,-0.18659481,0.04687378,-0.25857976,0.23188145,-0.5942739,-0.062888175,0.15877216,0.1593874,-0.16198486,-0.7207127,0.011110847,-0.07484617,0.09022097,-0.22085108,0.11655916,0.48423967,0.4583684,-0.3895395,-0.33866715,0.19066155,0.006586002,-0.038740862,-0.16166902,-0.16311231,-0.11715053,0.23878656,0.02766357,0.14196992,-0.2447143,-0.13311155,0.056209993,-0.026135413,-0.25116405,0.21505286,0.51421046,0.09321654,0.36864358,-0.5804433,0.18979964,0.009522607,0.61945087,0.23161145,0.19357444,0.38151965,-0.056060813,0.20587708,-0.36427736,0.68688023,-0.6312077,0.14650728,-0.09834856,-0.39039814,-0.32289582,-0.6133536,-0.35461524,-0.2521545,-0.10278581,-0.09885201,-0.1656328,0.04905619,0.07054039,0.3143933,0.193988,0.36755836,-0.14895691,-0.42020866,0.41188765,-0.11037219,0.16921385,-0.15628499,0.07083031
informaco,0.5768334,0.2924353,0.105378404,0.4010142,0.05357472,0.18657535,0.55681163,0.22699627,-0.09571476,-0.17852299,-0.105665125,0.10154346,0.9387776,0.32737887,0.31272042,-0.69150555,0.39009506,0.31703246,0.10065987,-0.049723953,0.3257337,-0.38321406,-0.6270403,-0.20895433,0.03757055,-0.20292732,-0.22790736,-0.2925357,0.1904411,0.17601772,0.2298584,-0.32237184,-0.13743785,-0.2566681,-0.12895198,0.14454207,-0.59079045,0.29445553,0.30948156,-0.52527857,0.15178624,-0.21719053,0.41918093,0.7562743,-0.2886093,-0.42787454,-0.27168846,-0.55049866,0.30604324,0.008235753,0.25717664,0.013906795,-0.2696585,-0.3604784,0.13852115,0.3122459,0.17869675,0.048816632,0.049747325,-0.30472997,-0.301082,0.07766473,0.040527795,0.0736567,-0.23766445,0.7534859,0.08636073,0.05356954,0.11148601,-0.5041238,0.46329448,-0.1423073,0.18871337,0.19897375,0.43873677,0.38556904,0.57027686,0.8224219,-0.102548726,0.3588956,-0.6690202,0.091136314,0.29443628,-0.123518154,0.45315647,0.28220192,0.50474536,-0.30019143,0.028968869,-0.0077972654,0.35125485,-0.0065892884,0.106940225,0.26631853,0.20676017,-0.15885761,-0.24111922,0.13011995,0.05805283,-0.028675614
mesm,0.71039826,0.012743814,0.015798843,0.37995547,-0.008555217,0.13820407,0.4428733,0.3431565,-0.07880248,-0.22604749,-0.1183397,0.15397349,0.79912126,0.414813,0.35868073,-0.63391274,0.42472556,0.4434132,0.12335799,0.27866057,0.26305613,-0.43485287,-0.67977685,-0.143213,0.22591057,-0.15676892,-0.13139313,-0.039103203,0.23261274,0.11011439,0.33285588,-0.36335912,-0.17694664,-0.23306274,-0.13302608,-0.18092711,-0.39444533,0.19321382,0.41566473,-0.46122086,0.01906005,-0.17711763,0.48587245,0.7105265,-0.3645648,-0.2426125,-0.29721177,-0.36563295,0.39877322,-0.035865083,0.085123174,-0.19948573,-0.43878132,-0.31667346,0.02317397,0.46618548,0.13848941,0.15960604,0.20346,-0.24190132,-0.14422017,0.37618637,0.1753241,0.15354386,-0.22858934,0.8501332,0.17391527,0.13945532,0.010138996,-0.39729345,0.58050656,-0.068831414,0.23197179,0.051145084,0.55784124,0.31430537,0.4784347,0.76181716,-0.30517042,0.15744454,-0.6634502,-0.03576189,0.109574385,-0.03835824,0.4001705,0.15370329,0.43896842,-0.26376343,-0.12804681,-0.1637404,0.38102484,-0.08909911,0.16805395,0.4366635,0.16478117,-0.16337791,-0.009578011,0.09503865,0.046755753,-0.08539475
nov,0.64476645,0.20400986,0.100699335,0.45618105,-0.13175093,0.3007338,0.49803215,0.21194619,0.0527328,-0.19763596,-0.07325433,0.27081114,0.9601089,0.30020082,0.32422352,-0.63523114,0.46849602,0.26969042,0.014945163,0.06537754,0.22804937,-0.38889074,-0.7471483,-0.23638543,0.047480926,-0.11958532,-0.12705073,-0.21867925,0.21870935,0.3190991,0.20908508,-0.4535658,-0.060805287,-0.31123513,-0.20416375,-0.007929835,-0.644914,0.1550193,0.33302718,-0.5115409,0.12359941,-0.025353605,0.37380978,0.7559734,-0.34700114,-0.4862519,-0.24696217,-0.5230306,0.3426337,0.06321497,0.14347057,-0.11402219,-0.4730699,-0.31586057,0.10889485,0.4643782,0.23892337,0.10114228,0.19343345,-0.2804363,-0.299947,0.13087034,0.04917151,0.050950706,-0.24576198,0.8655998,0.06287676,0.015773952,-0.025990987,-0.4603069,0.5494399,-0.014067507,0.21856959,0.027193835,0.3789634,0.33324844,0.6855555,0.77746487,-0.17771752,0.21917397,-0.7518714,0.0709503,0.2339577,-0.061261468,0.40561467,0.20759925,0.36989266,-0.33986667,-0.1173691,-0.10650773,0.31243017,-0.039404765,-0.006026551,0.4040714,0.025403041,-0.30296928,-0.26971102,0.21703038,0.13269131,0.064302914
